,NPGA/90,G/90,G,G+A/90,Pens,player,NPG/90,minutes,A,season,NPG,NPGA
53961,0.07,0,0,0.07,0,Javi Márquez,0,1311,1,2015-2016,0,1
53962,0,0,0,0,0,Roger Martí,0,655,0,2015-2016,0,0
53963,0.17,0,0,0.17,0,Carlos Martínez,0,543,1,2015-2016,0,1
53964,0.03,0.03,1,0.03,0,Iñigo Martínez,0.03,2700,0,2015-2016,1,1
53965,0.55,0.27,2,0.55,0,Jackson Martínez,0.27,658,2,2015-2016,2,4
53966,0.05,0,0,0.05,0,Omar Mascarell,0,1770,1,2015-2016,0,1
53967,0,0,0,0,0,Javier Mascherano,0,2689,0,2015-2016,0,0
53968,0,0,0,0,0,Hachim Mastour,0,6,0,2015-2016,0,0
53969,0.04,0.04,1,0.04,0,Simão Mate Junior,0.04,2174,0,2015-2016,1,1
53970,0.14,0,0,0.14,0,Jérémy Mathieu,0,1269,2,2015-2016,0,2
53971,0,0,0,0,0,Jose Matos,0,90,0,2015-2016,0,0
53972,0,0,0,0,0,Borja Mayoral,0,280,0,2015-2016,0,0
53973,0.07,0.07,1,0.07,0,Carl Medjani,0.07,1260,0,2015-2016,1,1
53974,0.18,0.12,2,0.18,0,Álvaro Medrán,0.12,1483,1,2015-2016,2,3
53975,0.26,0.09,1,0.26,0,Tiago Mendes,0.09,1054,2,2015-2016,1,3
53976,0.12,0.12,1,0.12,0,Edgar Mendez,0.12,750,0,2015-2016,1,1
53977,0,0,0,0,0,Sergio Mendigutxia,0,31,0,2015-2016,0,0
53978,0.26,0.17,2,0.26,0,Álex Menéndez,0.17,1043,1,2015-2016,2,3
53979,0,0,0,0,0,Bernard Mensah,0,72,0,2015-2016,0,0
53980,0,0,0,0,0,Jorge Meré,0,2171,0,2015-2016,0,0
53981,0.4,0.4,5,0.4,0,Sabin Merino,0.4,1135,0,2015-2016,5,5
53982,0.1,0.03,1,0.1,0,Roque Mesa,0.03,2813,2,2015-2016,1,3
53983,1.29,0.86,26,1.39,3,Lionel Messi,0.76,2729,16,2015-2016,23,39
53984,0.76,0.53,9,0.76,0,Miku,0.53,1540,4,2015-2016,9,13
53985,0.29,0.23,4,0.29,0,Santi Mina,0.23,1572,1,2015-2016,4,5
53986,0.21,0.07,2,0.21,0,Luka Modrić,0.07,2613,4,2015-2016,2,6
53987,0.19,0.1,1,0.19,0,Jorge Molina,0.1,925,1,2015-2016,1,2
53988,0.08,0,0,0.08,0,Francisco Molinero,0,1189,1,2015-2016,0,1
