,NPGA/90,G/90,G,G+A/90,Pens,player,NPG/90,minutes,A,season,NPG,NPGA
0,0.56,0.36,9,0.56,0,Otto Addo,0.36,2268,5,2000-2001,9,14
1,0.95,0.95,7,0.95,0,Adhemar,0.95,660,0,2000-2001,7,7
2,1.67,0.56,1,1.67,0,Silvio Adzic,0.56,162,2,2000-2001,1,3
3,0.34,0.24,5,0.34,0,Victor Agali,0.24,1850,2,2000-2001,5,7
4,0.49,0.37,3,0.49,0,Jan Åge Fjørtoft,0.37,734,1,2000-2001,3,4
5,0.73,0.62,12,0.73,0,Paul Agostino,0.62,1733,2,2000-2001,12,14
6,0.69,0.35,1,0.69,0,Abdelaziz Ahanfouf,0.35,259,1,2000-2001,1,2
7,0,0,0,0,0,Abdelaziz Ahanfouf,0,66,0,2000-2001,0,0
8,0.42,0.54,14,0.57,4,Aílton,0.38,2348,1,2000-2001,10,11
9,0.16,0.2,5,0.27,3,Charles Akonnor,0.08,2294,2,2000-2001,2,4
10,0.75,0.6,8,0.75,0,Jonathan Akpoborie,0.6,1206,2,2000-2001,8,10
11,0.03,0,0,0.03,0,Bruno Akrapović,0,2616,1,2000-2001,0,1
12,0,0,0,0,0,Ünal Alpuğan,0,90,0,2000-2001,0,0
13,0.57,0.42,8,0.57,0,Alex Alves,0.42,1731,3,2000-2001,8,11
14,0.1,0.05,1,0.1,0,Patrik Andersson,0.05,1847,1,2000-2001,1,2
15,0.56,0.49,7,0.56,0,Archil Arveladze,0.49,1296,1,2000-2001,7,8
16,0.24,0.19,4,0.24,0,Magnus Arvidsson,0.19,1914,1,2000-2001,4,5
17,0.26,0.18,4,0.26,0,Gerald Asamoah,0.18,2044,2,2000-2001,4,6
18,0,0,0,0,0,Marko Babić,0,81,0,2000-2001,0,0
19,0,0,0,0,0,Alexander Bade,0,450,0,2000-2001,0,0
20,0.31,0.23,6,0.46,4,Krasimir Balakov,0.08,2335,6,2000-2001,2,8
21,0.31,0.27,7,0.39,2,Michael Ballack,0.2,2295,3,2000-2001,5,8
22,0.35,0,0,0.35,0,Ivica Banović,0,782,3,2000-2001,0,3
23,0.29,0.29,2,0.29,0,Miroslav Baranek,0.29,629,0,2000-2001,2,2
24,0.94,0.79,22,0.94,0,Sergej Barbarez,0.79,2497,4,2000-2001,22,26
25,0,0,0,0,0,Mike Barten,0,538,0,2000-2001,0,0
26,0.26,0.2,4,0.36,2,Mario Basler,0.1,1761,3,2000-2001,2,5
27,0.28,0.14,4,0.28,0,Yıldıray Baştürk,0.14,2548,4,2000-2001,4,8
28,0.14,0.07,2,0.14,0,Frank Baumann,0.07,2617,2,2000-2001,2,4
29,0.21,0.11,2,0.21,0,Steffen Baumgart,0.11,1698,2,2000-2001,2,4
30,0.42,0.26,5,0.42,0,Zoubeir Baya,0.26,1719,3,2000-2001,5,8
31,0,0,0,0,0,Henryk Bałuszyński,0,439,0,2000-2001,0,0
32,0,0,0,0,0,Christian Beeck,0,1379,0,2000-2001,0,0
33,0.31,0.21,2,0.31,0,Markus Beierle,0.21,861,1,2000-2001,2,3
34,0.83,0.35,5,0.83,0,Stefan Beinlich,0.35,1298,7,2000-2001,5,12
35,0,0,0,0,0,Michał Bemben,0,995,0,2000-2001,0,0
36,0.06,0.06,1,0.06,0,Sven Benken,0.06,1450,0,2000-2001,1,1
37,0.73,0,0,0.73,0,Dimitar Berbatov,0,124,1,2000-2001,0,1
38,0,0,0,0,0,Jörg Bergen,0,232,0,2000-2001,0,0
39,0,0,0,0,0,Tommy Berntsen,0,177,0,2000-2001,0,0
40,0.47,0.47,2,0.47,0,Marinus Bester,0.47,385,0,2000-2001,2,2
41,0.2,0.15,3,0.2,0,Daniel Bierofka,0.15,1763,1,2000-2001,3,4
42,0.07,0,0,0.07,0,Marino Biliškov,0,1348,1,2000-2001,0,1
43,0,0,0,0,0,Uwe Bindewald,0,884,0,2000-2001,0,0
44,0.32,0.11,1,0.32,0,Nenad Bjelica,0.11,832,2,2000-2001,1,3
45,0,0,0,0,0,Stefan Blank,0,385,0,2000-2001,0,0
46,0.55,0.5,10,0.55,0,Fredi Bobic,0.5,1812,1,2000-2001,10,11
47,0.32,0.2,5,0.32,0,Marco Bode,0.2,2249,3,2000-2001,5,8
48,0.56,0.56,3,0.56,0,Rade Bogdanović,0.56,486,0,2000-2001,3,3
49,0.55,0.34,10,0.62,2,Jörg Böhme,0.28,2615,8,2000-2001,8,16
50,0,0,0,0,0,Marcelo Bordon,0,2311,0,2000-2001,0,0
51,0.33,0.17,3,0.33,0,Daniel Borimirov,0.17,1617,3,2000-2001,3,6
52,0.28,0.14,2,0.28,0,Serge Branco,0.14,1293,2,2000-2001,2,4
53,0.2,0.13,2,0.2,0,Christian Brand,0.13,1368,1,2000-2001,2,3
54,0.51,0.38,3,0.51,0,Thomas Brdarić,0.38,702,1,2000-2001,3,4
55,0.34,0.34,8,0.38,1,André Breitenreiter,0.29,2136,1,2000-2001,7,8
56,0.47,0.24,1,0.47,0,Matthias Breitkreutz,0.24,379,1,2000-2001,1,2
57,0,0,0,0,0,Florian Bruns,0,61,0,2000-2001,0,0
58,0,0,0,0,0,Ralf Bucher,0,467,0,2000-2001,0,0
59,0.26,0,0,0.26,0,Andreas Buck,0,1376,4,2000-2001,0,4
60,0.21,0.14,2,0.21,0,Delron Buckley,0.14,1257,1,2000-2001,2,3
61,0,0,0,0,0,Alexander Bugera,0,361,0,2000-2001,0,0
62,0,0,0,0,0,Spasoje Bulajič,0,863,0,2000-2001,0,0
63,0,0,0,0,0,Erol Bulut,0,57,0,2000-2001,0,0
64,0.08,0.08,2,0.08,0,Dick van Burik,0.08,2310,0,2000-2001,2,2
65,0,0,0,0,0,Mike Büskens,0,1385,0,2000-2001,0,0
66,0.47,0.19,4,0.47,0,Vladimir But,0.19,1923,6,2000-2001,4,10
67,0,0.1,3,0.1,3,Hans-Jörg Butt,0,2803,0,2000-2001,0,0
68,0.3,0.15,1,0.3,0,Rodolfo Cardoso,0.15,595,1,2000-2001,1,2
69,0,0,0,0,0,Bradley Carnell,0,1608,0,2000-2001,0,0
70,0,0,0,0,0,Harald Cerny,0,1961,0,2000-2001,0,0
71,0.13,0.13,1,0.13,0,Thomas Christiansen,0.13,685,0,2000-2001,1,1
72,0.05,0,0,0.05,0,Thomas Cichon,0,1916,1,2000-2001,0,1
73,0.16,0.16,1,0.16,0,Saša Ćirić,0.16,571,0,2000-2001,1,1
74,0.56,0,0,0.56,0,Martin Čížek,0,641,4,2000-2001,0,4
75,0.06,0,0,0.06,0,Søren Colding,0,1440,1,2000-2001,0,1
76,0.27,0,0,0.27,0,Francisco Copado,0,334,1,2000-2001,0,1
77,0.1,0.1,2,0.1,0,Soumaila Coulibaly,0.1,1789,0,2000-2001,2,2
78,0,0,0,0,0,Ante Čović,0,158,0,2000-2001,0,0
79,0.12,0.12,3,0.12,0,Carsten Cullmann,0.12,2250,0,2000-2001,3,3
80,0,0,0,0,0,Christoph Dabrowski,0,103,0,2000-2001,0,0
81,0.73,0.37,3,0.73,0,Ali Daei,0.37,738,3,2000-2001,3,6
82,0.16,0.11,2,0.16,0,Pál Dárdai,0.11,1655,1,2000-2001,2,3
83,0,0,0,0,0,Markus Daun,0,23,0,2000-2001,0,0
84,0.13,0.1,3,0.13,0,Dedê,0.1,2760,1,2000-2001,3,4
85,0.45,0.18,4,0.45,0,Sebastian Deisler,0.18,2002,6,2000-2001,4,10
86,0,0,0,0,0,Antonio Di Salvo,0,103,0,2000-2001,0,0
87,0.03,0.03,1,0.03,0,Boubacar Diarra,0.03,2929,0,2000-2001,1,1
88,0,0,0,0,0,Mirko Dickhaut,0,1516,0,2000-2001,0,0
89,0.37,0.14,3,0.41,1,Youri Djorkaeff,0.09,1964,6,2000-2001,2,8
90,0.87,0,0,0.87,0,Thomas Doll,0,103,1,2000-2001,0,1
91,0.24,0.24,1,0.24,0,José Dominguez,0.24,382,0,2000-2001,1,1
92,0,0,0,0,0,Lee Dong-gook,0,126,0,2000-2001,0,0
93,0.63,0.31,1,0.63,0,Georgi Donkov,0.31,286,1,2000-2001,1,2
94,0.97,0.97,4,0.97,0,Régis Dorn,0.97,373,0,2000-2001,4,4
95,0,0,0,0,0,Bernd Dreher,0,90,0,2000-2001,0,0
96,0.53,0.53,1,0.53,0,Björn Dreyer,0.53,169,0,2000-2001,1,1
97,0.33,0.33,3,0.33,0,Zdravko Drinčić,0.33,829,0,2000-2001,3,3
98,0,0,0,0,0,Rein van Duijnhoven,0,2918,0,2000-2001,0,0
99,0.33,0.21,5,0.33,0,Sean Dundee,0.21,2188,3,2000-2001,5,8
100,0,0,0,0,0,Markus Dworrak,0,30,0,2000-2001,0,0
101,0,0,0,0,0,Anel Džaka,0,4,0,2000-2001,0,0
102,0.15,0,0,0.15,0,Janosch Dziwior,0,1843,3,2000-2001,0,3
103,0.41,0.21,4,0.47,1,Stefan Effenberg,0.16,1740,5,2000-2001,3,8
104,0,0,0,0,0,Uwe Ehlers,0,836,0,2000-2001,0,0
105,0,0,0,0,0,Yves Eigenrauch,0,103,0,2000-2001,0,0
106,0.16,0,0,0.16,0,Dieter Eilts,0,2314,4,2000-2001,0,4
107,0.92,0.66,15,0.92,0,Giovane Élber,0.66,2056,6,2000-2001,15,21
108,0.19,0,0,0.19,0,Mohamed Emara,0,1908,4,2000-2001,0,4
109,0,0,0,0,0,Jochen Endreß,0,516,0,2000-2001,0,0
110,0.09,0.09,2,0.09,0,Fabian Ernst,0.09,2107,0,2000-2001,2,2
111,0,0,0,0,0,Thomas Ernst,0,180,0,2000-2001,0,0
112,0.26,0.11,3,0.26,0,Evanílson,0.11,2442,4,2000-2001,3,7
113,0.2,0.12,3,0.2,0,Eyjólfur,0.12,2284,2,2000-2001,3,5
114,0.17,0.17,2,0.17,0,Frank Fahrenhorst,0.17,1032,0,2000-2001,2,2
115,0.1,0.05,1,0.1,0,Thorsten Fink,0.05,1797,1,2000-2001,1,2
116,0,0,0,0,0,Andreas Fischer,0,328,0,2000-2001,0,0
117,0,0,0,0,0,Dirk Flock,0,23,0,2000-2001,0,0
118,0.34,0.27,4,0.34,0,Franklin,0.27,1313,1,2000-2001,4,5
119,0.12,0.06,1,0.12,0,Paul Freier,0.06,1465,1,2000-2001,1,2
120,0.04,0.04,1,0.04,0,Torsten Frings,0.04,2442,0,2000-2001,1,1
121,0,0,0,0,0,Henri Fuchs,0,16,0,2000-2001,0,0
122,0.43,0.14,1,0.43,0,Milan Fukal,0.14,631,2,2000-2001,1,3
123,0.55,0.37,8,0.55,0,Ionel Ganea,0.37,1958,4,2000-2001,8,12
124,0,0,0,0,0,Alfonso Garcia,0,119,0,2000-2001,0,0
125,0.28,0.21,3,0.28,0,Marco Gebhardt,0.21,1279,1,2000-2001,3,4
126,0,0,0,0,0,Giuseppe Gemiti,0,205,0,2000-2001,0,0
127,0.12,0.12,2,0.12,0,Heiko Gerber,0.12,1547,0,2000-2001,2,2
128,0,0,0,0,0,Berkant Göktan,0,8,0,2000-2001,0,0
129,0,0,0,0,0,Richard Golz,0,3060,0,2000-2001,0,0
130,0.05,0,0,0.05,0,Dimitrios Grammozis,0,1758,1,2000-2001,0,1
131,0.07,0,0,0.07,0,Dennis Grassow,0,1225,1,2000-2001,0,1
132,0,0,0,0,0,Holger Greilich,0,135,0,2000-2001,0,0
133,0.17,0.06,1,0.17,0,Frank Greiner,0.06,1545,2,2000-2001,1,3
134,0.4,0,0,0.4,0,Vratislav Greško,0,449,2,2000-2001,0,2
135,0,0,0,0,0,Ivica Grlić,0,4,0,2000-2001,0,0
136,0,0,0,0,0,Frode Grodås,0,90,0,2000-2001,0,0
137,0,0,0,0,0,Martin Groth,0,840,0,2000-2001,0,0
138,0.17,0.11,2,0.17,0,Rolf-Christel Guié-Mien,0.11,1614,1,2000-2001,2,3
139,0.07,0,0,0.07,0,Marco Haber,0,2454,2,2000-2001,0,2
140,0.09,0,0,0.09,0,Tomasz Hajto,0,2854,3,2000-2001,0,3
141,0.15,0.15,1,0.15,0,Markus Happe,0.15,593,0,2000-2001,1,1
142,0.27,0,0,0.27,0,Owen Hargreaves,0,673,2,2000-2001,0,2
143,0.27,0.06,2,0.27,0,Michael Hartmann,0.06,2952,7,2000-2001,2,9
144,0,0,0,0,0,Vahid Hashemian,0,19,0,2000-2001,0,0
145,0.42,0.23,7,0.49,2,Thomas Häßler,0.16,2760,8,2000-2001,5,13
146,0,0,0,0,0,Rainer Hauck,0,149,0,2000-2001,0,0
147,0,0,0,0,0,Ralf Hauptmann,0,586,0,2000-2001,0,0
148,0,0,0,0,0,Steffen Heidrich,0,73,0,2000-2001,0,0
149,0,0,0,0,0,Dirk Heinen,0,2608,0,2000-2001,0,0
150,0.23,0.13,4,0.23,0,Jörg Heinrich,0.13,2687,3,2000-2001,4,7
151,0.43,0.22,4,0.43,0,Marek Heinz,0.22,1669,4,2000-2001,4,8
152,0,0,0,0,0,Frankie Hejduk,0,216,0,2000-2001,0,0
153,0.3,0.17,4,0.3,0,Sebastian Helbig,0.17,2104,3,2000-2001,4,7
154,0,0,0,0,0,Oliver Held,0,4,0,2000-2001,0,0
155,0.32,0.16,5,0.45,4,Horst Heldt,0.03,2828,9,2000-2001,1,10
156,0,0,0,0,0,Thomas Hengen,0,2739,0,2000-2001,0,0
157,0,0,0,0,0,Lars Hermel,0,508,0,2000-2001,0,0
158,0.71,0.83,7,0.83,1,Heiko Herrlich,0.71,760,0,2000-2001,6,6
159,0,0,0,0,0,Björn Hertl,0,96,0,2000-2001,0,0
160,0.16,0.04,1,0.16,0,Ingo Hertzsch,0.04,2214,3,2000-2001,1,4
161,0.24,0.07,2,0.24,0,Andreas Herzog,0.07,2601,5,2000-2001,2,7
162,0.06,0.06,1,0.06,0,Hendrik Herzog,0.06,1521,0,2000-2001,1,1
163,0,0,0,0,0,Timo Hildebrand,0,2880,0,2000-2001,0,0
164,0,0,0,0,0,Andreas Hinkel,0,236,0,2000-2001,0,0
165,0.06,0.06,1,0.06,0,Dietmar Hirsch,0.06,1562,0,2000-2001,1,1
166,0,0,0,0,0,Alexander Hleb,0,284,0,2000-2001,0,0
167,0.06,0,0,0.06,0,Torben Hoffmann,0,1581,1,2000-2001,0,1
168,0,0,0,0,0,Michael Hofmann,0,656,0,2000-2001,0,0
169,0,0,0,0,0,Bernd Hollerbach,0,2205,0,2000-2001,0,0
170,0.09,0.09,2,0.09,0,Marco van Hoogdalem,0.09,1966,0,2000-2001,2,2
171,0.1,0.03,1,0.1,0,Nico-Jan Hoogma,0.03,2721,2,2000-2001,1,3
172,0,0,0,0,0,Ferenc Horváth,0,293,0,2000-2001,0,0
173,0.21,0.14,4,0.21,0,Marian Hristov,0.14,2544,2,2000-2001,4,6
174,0,0,0,0,0,Petar Hubchev,0,1549,0,2000-2001,0,0
175,0.08,0.04,1,0.08,0,Faruk Hujdurović,0.04,2155,1,2000-2001,1,2
176,0.51,0.17,4,0.51,0,Aleksandre Iashvili,0.17,2125,8,2000-2001,4,12
177,0,0,0,0,0,Emeka Ifejiagwa,0,630,0,2000-2001,0,0
178,0.32,0.16,1,0.32,0,Victor Ikpeba,0.16,560,1,2000-2001,1,2
179,0,0,0,0,0,Sabin Ilie,0,283,0,2000-2001,0,0
180,0.03,0.03,1,0.03,0,Andreas Jakobsson,0.03,3060,0,2000-2001,1,1
181,0.79,0.73,12,0.79,0,Carsten Jancker,0.73,1478,1,2000-2001,12,13
182,0,0,0,0,0,Simon Jentzsch,0,2405,0,2000-2001,0,0
183,0.11,0.05,1,0.11,0,Jens Jeremies,0.05,1697,1,2000-2001,1,2
184,0,0,0,0,0,Frank Juric,0,540,0,2000-2001,0,0
185,0.58,0.46,12,0.58,0,Andrzej Juskowiak,0.46,2327,3,2000-2001,12,15
186,0,0,0,0,0,Oliver Kahn,0,2880,0,2000-2001,0,0
187,0,0,0,0,0,Sead Kapetanović,0,204,0,2000-2001,0,0
188,0,0,0,0,0,Rüdiger Kauf,0,807,0,2000-2001,0,0
189,0.29,0.08,2,0.29,0,Sebastian Kehl,0.08,2206,5,2000-2001,2,7
190,0.07,0,0,0.07,0,Jens Keller,0,2499,2,2000-2001,0,2
191,0,0,0,0,0,Joshua Kennedy,0,6,0,2000-2001,0,0
192,0.44,0.11,1,0.44,0,Marcel Ketelaer,0.11,824,3,2000-2001,1,4
193,0.12,0.12,1,0.12,0,Jochen Kientz,0.12,735,0,2000-2001,1,1
194,0,0,0,0,0,Gábor Király,0,3060,0,2000-2001,0,0
195,0.67,0.5,12,0.8,3,Ulf Kirsten,0.38,2139,7,2000-2001,9,16
196,0.41,0.37,9,0.41,0,Miroslav Klose,0.37,2204,1,2000-2001,9,10
197,0,0,0,0,0,Sven Kmetsch,0,283,0,2000-2001,0,0
198,0.24,0.24,7,0.41,5,Levan Kobiashvili,0.07,2628,5,2000-2001,2,7
199,0.15,0.15,3,0.15,0,Andrzej Kobylański,0.15,1778,0,2000-2001,3,3
200,0,0,0,0,0,Georg Koch,0,2790,0,2000-2001,0,0
201,0.04,0.15,4,0.15,3,Harry Koch,0.04,2460,0,2000-2001,1,1
202,0,0,0,0,0,Ludwig Kögl,0,237,0,2000-2001,0,0
203,0,0,0,0,0,Ralf Kohl,0,263,0,2000-2001,0,0
204,0,0,0,0,0,Benjamin Köhler,0,5,0,2000-2001,0,0
205,0.07,0,0,0.07,0,Jürgen Kohler,0,2416,2,2000-2001,0,2
206,0.09,0.09,1,0.09,0,Slobodan Komljenović,0.09,1045,0,2000-2001,1,1
207,0.08,0.08,1,0.08,0,Oumar Kondé,0.08,1115,0,2000-2001,1,1
208,0.11,0.06,1,0.11,0,Kostas Konstantinidis,0.06,1611,1,2000-2001,1,2
209,0.29,0.17,4,0.29,0,Niko Kovač,0.17,2143,3,2000-2001,4,7
210,0.03,0,0,0.03,0,Robert Kovač,0,2736,1,2000-2001,0,1
211,0.34,0.34,1,0.34,0,Kreso Kovacec,0.34,261,0,2000-2001,1,1
212,0.03,0.03,1,0.03,0,Torsten Kracht,0.03,2856,0,2000-2001,1,1
213,0.45,0.34,6,0.45,0,Markus Kreuz,0.34,1583,2,2000-2001,6,8
214,1.73,0,0,1.73,0,Emmanuel Krontiris,0,52,1,2000-2001,0,1
215,0.09,0.09,2,0.09,0,Mladen Krstajić,0.09,2063,0,2000-2001,2,2
216,0,0,0,0,0,Benjamin Kruse,0,50,0,2000-2001,0,0
217,0,0,0,0,0,Waldemar Kryger,0,2006,0,2000-2001,0,0
218,0.73,0.46,7,0.73,0,Paweł Kryszałowicz,0.46,1363,4,2000-2001,7,11
219,0.05,0.05,1,0.05,0,Samuel Kuffour,0.05,1860,0,2000-2001,1,1
220,0.42,0.27,7,0.42,0,Dietmar Kühbauer,0.27,2336,4,2000-2001,7,11
221,0.55,0.39,7,0.55,0,Markus Kurth,0.39,1629,3,2000-2001,7,10
222,0,0,0,0,0,Marco Kurz,0,1961,0,2000-2001,0,0
223,0.05,0.05,1,0.05,0,Alexander Kutschera,0.05,1781,0,2000-2001,1,1
224,0.09,0.09,2,0.09,0,Tomasz Kłos,0.09,1900,0,2000-2001,2,2
225,0.53,0.37,7,0.53,0,Antun Labak,0.37,1713,3,2000-2001,7,10
226,0.12,0.12,1,0.12,0,Timo Lange,0.12,737,0,2000-2001,1,1
227,0.08,0,0,0.08,0,Marcus Lantz,0,2266,2,2000-2001,0,2
228,0.19,0.09,2,0.19,0,Radoslav Látal,0.09,1906,2,2000-2001,2,4
229,0,0,0,0,0,Moussa Latoundji,0,1532,0,2000-2001,0,0
230,0,0,0,0,0,Philipp Laux,0,270,0,2000-2001,0,0
231,0,0,0,0,0,Jens Lehmann,0,2790,0,2000-2001,0,0
232,0,0,0,0,0,Thomas Linke,0,2292,0,2000-2001,0,0
233,0.28,0.17,3,0.28,0,Krisztián Lisztes,0.17,1600,2,2000-2001,3,5
234,0.24,0,0,0.24,0,Bixente Lizarazu,0,1112,3,2000-2001,0,3
235,0.39,0.39,9,0.39,0,Vratislav Lokvenc,0.39,2055,0,2000-2001,9,9
236,0,0,0,0,0,Markus Lösch,0,815,0,2000-2001,0,0
237,0.63,0.41,11,0.74,3,Dirk Lottner,0.3,2433,9,2000-2001,8,17
238,0.33,0.33,5,0.33,0,Lúcio,0.33,1349,0,2000-2001,5,5
239,0,0,0,0,0,Matthias Lust,0,127,0,2000-2001,0,0
240,0,0,0,0,0,Rob Maas,0,294,0,2000-2001,0,0
241,0.44,0.2,5,0.44,0,Mehdi Mahdavikia,0.2,2267,6,2000-2001,5,11
242,0.28,0.28,4,0.28,0,Sławomir Majak,0.28,1278,0,2000-2001,4,4
243,0,0,0,0,0,Yuriy Maksymov,0,198,0,2000-2001,0,0
244,0,0,0,0,0,Vladimir Maljković,0,204,0,2000-2001,0,0
245,0,0,0,0,0,Marcel Maltritz,0,476,0,2000-2001,0,0
246,0,0,0,0,0,Zoran Mamić,0,1712,0,2000-2001,0,0
247,0.11,0,0,0.11,0,Sergei Mandreko,0,1600,2,2000-2001,0,2
248,0.29,0.39,8,0.48,4,Marijo Marić,0.19,1858,2,2000-2001,4,6
249,0.48,0.36,6,0.48,0,Tomislav Marić,0.36,1498,2,2000-2001,6,8
250,0.1,0,0,0.1,0,Rui Marques,0,946,1,2000-2001,0,1
251,0.22,0.22,1,0.22,0,Olaf Marschall,0.22,404,0,2000-2001,1,1
252,0,0,0,0,0,Thorben Marx,0,3,0,2000-2001,0,0
253,0,0,0,0,0,Adam Matysek,0,1350,0,2000-2001,0,0
254,0.16,0.11,2,0.16,0,János Mátyus,0.11,1713,1,2000-2001,2,3
255,0,0,0,0,0,Ronald Maul,0,159,0,2000-2001,0,0
256,0.39,0.28,8,0.39,0,Martin Max,0.28,2567,3,2000-2001,8,11
257,0,0,0,0,0,Kevin McKenna,0,79,0,2000-2001,0,0
258,0,0,0,0,0,Martin Meichelbeck,0,1388,0,2000-2001,0,0
259,0.51,0.31,3,0.51,0,Erik Meijer,0.31,875,2,2000-2001,3,5
260,0,0,0,0,0,Silvio Meißner,0,1416,0,2000-2001,0,0
261,0,0,0,0,0,Christoph Metzelder,0,1329,0,2000-2001,0,0
262,0.29,0.19,2,0.29,0,Toni Mičevski,0.19,943,1,2000-2001,2,3
263,1.33,1.33,2,1.33,0,Kai Michalke,1.33,135,0,2000-2001,2,2
264,0,0,0,0,0,Christian Mikolajczak,0,108,0,2000-2001,0,0
265,0,0,0,0,0,Damir Milinović,0,1523,0,2000-2001,0,0
266,0.62,0.38,11,0.69,2,Vasile Miriuță,0.31,2610,9,2000-2001,9,18
267,0.35,0.03,1,0.35,0,Andreas Möller,0.03,2854,10,2000-2001,1,11
268,0.95,0.54,13,0.95,0,Émile Mpenza,0.54,2168,10,2000-2001,13,23
269,0.23,0.23,1,0.23,0,Youri Mulder,0.23,398,0,2000-2001,1,1
270,0.1,0.1,1,0.1,0,Stefan Müller,0.1,939,0,2000-2001,1,1
271,0.68,0.27,2,0.68,0,Sven Müller,0.27,662,3,2000-2001,2,5
272,0.52,0.17,3,0.52,0,Dorinel Munteanu,0.17,1556,6,2000-2001,3,9
273,0.14,0,0,0.14,0,Michael Mutzel,0,1278,2,2000-2001,0,2
274,0.06,0,0,0.06,0,Erik Mykland,0,1626,1,2000-2001,0,1
275,0.07,0.03,1,0.07,0,Jiří Němec,0.03,2695,1,2000-2001,1,2
276,0.11,0.11,1,0.11,0,Christian Nerlinger,0.11,856,0,2000-2001,1,1
277,0,0,0,0,0,Andreas Neuendorf,0,341,0,2000-2001,0,0
278,0.59,0.46,15,0.59,0,Oliver Neuville,0.46,2915,4,2000-2001,15,19
279,0,0,0,0,0,Alfred Nijhuis,0,406,0,2000-2001,0,0
280,0,0,0,0,0,Oka Nikolov,0,331,0,2000-2001,0,0
281,0.27,0,0,0.27,0,Džoni Novak,0,339,1,2000-2001,0,1
282,0.49,0.18,3,0.49,0,Krzysztof Nowak,0.18,1479,5,2000-2001,3,8
283,0.08,0.04,1,0.08,0,Jens Nowotny,0.04,2368,1,2000-2001,1,2
284,0,0,0,0,0,Brian O'Neil,0,720,0,2000-2001,0,0
285,0.18,0.18,3,0.18,0,Markus Oberleitner,0.18,1522,0,2000-2001,3,3
286,0,0,0,0,0,Pascal Ojigwe,0,716,0,2000-2001,0,0
287,0.1,0,0,0.1,0,Sunday Oliseh,0,1820,2,2000-2001,0,2
288,0,0,0,0,0,Kai Oswald,0,1947,0,2000-2001,0,0
289,0.07,0,0,0.07,0,Niels Oude Kamphuis,0,1272,1,2000-2001,0,1
290,0,0,0,0,0,Alassane Ouédraogo,0,26,0,2000-2001,0,0
291,0,0,0,0,0,Andrej Panadić,0,2015,0,2000-2001,0,0
292,0,0,0,0,0,Stephan Paßlack,0,527,0,2000-2001,0,0
293,0.26,0.2,3,0.26,0,Peter Peschel,0.2,1375,1,2000-2001,3,4
294,0.21,0.16,3,0.21,0,Jörgen Pettersson,0.16,1693,1,2000-2001,3,4
295,0,0,0,0,0,Achim Pfuderer,0,417,0,2000-2001,0,0
296,0,0,0,0,0,Martin Pieckenhagen,0,3060,0,2000-2001,0,0
297,0.07,0,0,0.07,0,Roberto Pinto,0,1340,1,2000-2001,0,1
298,0,0,0,0,0,Tomislav Piplica,0,3060,0,2000-2001,0,0
299,0.7,0.7,1,0.7,0,Darko Pivaljević,0.7,128,0,2000-2001,1,1
300,0.79,0.72,19,0.87,2,Claudio Pizarro,0.64,2381,4,2000-2001,17,21
301,0,0,0,0,0,Diego Placente,0,947,0,2000-2001,0,0
302,0.62,0,0,0.62,0,Robson Ponte,0,288,2,2000-2001,0,2
303,0.3,0.25,5,0.3,0,Roy Präger,0.25,1815,1,2000-2001,5,6
304,0.6,0.5,16,0.6,0,Michael Preetz,0.5,2868,3,2000-2001,16,19
305,0.06,0.06,1,0.06,0,Christoph Preuß,0.06,1424,0,2000-2001,1,1
306,0,0,0,0,0,Markus Pröll,0,2610,0,2000-2001,0,0
307,0.34,0,0,0.34,0,Marcus Pürk,0,265,1,2000-2001,0,1
308,0,0,0,0,0,Karel Rada,0,979,0,2000-2001,0,0
309,0.19,0.09,1,0.19,0,Yasser Radwan,0.09,964,1,2000-2001,1,2
310,0.24,0.18,3,0.24,0,Abder Ramdane,0.18,1491,1,2000-2001,3,4
311,0.1,0.06,2,0.1,0,Carsten Ramelow,0.06,2825,1,2000-2001,2,3
312,0.04,0.04,1,0.04,0,Hany Ramzy,0.04,2238,0,2000-2001,1,1
313,0.14,0,0,0.14,0,Jens Rasiejewski,0,644,1,2000-2001,0,1
314,0.26,0,0,0.26,0,Ratinho,0,681,2,2000-2001,0,2
315,0,0,0,0,0,Oliver Reck,0,2970,0,2000-2001,0,0
316,0.07,0,0,0.07,0,Jörg Reeb,0,1261,1,2000-2001,0,1
317,0.12,0.08,2,0.12,0,Laurențiu Reghecampf,0.08,2182,1,2000-2001,2,3
318,0.15,0.1,2,0.15,0,Marko Rehmer,0.1,1832,1,2000-2001,2,3
319,0.47,0.31,2,0.47,0,Marco Reich,0.31,575,1,2000-2001,2,3
320,0.36,0.31,6,0.36,0,Thomas Reichenberger,0.31,1727,1,2000-2001,6,7
321,0.47,0.34,8,0.47,0,Giuseppe Reina,0.34,2090,3,2000-2001,8,11
322,0.34,0.26,3,0.34,0,Thomas Reis,0.26,1053,1,2000-2001,3,4
323,0.6,0,0,0.6,0,Piotr Reiss,0,302,2,2000-2001,0,2
324,0,0,0,0,0,Claus Reitmaier,0,3060,0,2000-2001,0,0
325,0,0,0,0,0,Stefan Reuter,0,443,0,2000-2001,0,0
326,0.47,0.2,5,0.47,0,Lars Ricken,0.2,2296,7,2000-2001,5,12
327,0.3,0,0,0.3,0,Thomas Riedl,0,603,2,2000-2001,0,2
