player,NPGA,season
Marcelinho Paraíba,25,2004-2005
Diego,25,2006-2007
Kevin Kurányi,25,2006-2007
Stefan Kießling,25,2009-2010
Kevin Kurányi,25,2009-2010
Mario Gómez,25,2011-2012
Claudio Pizarro,25,2011-2012
Roberto Firmino,25,2013-2014
Emil Forsberg,25,2016-2017
Robert Lewandowski,25,2017-2018
Robert Lewandowski,25,2019-2020
Timo Werner,25,2019-2020
Alexander Frei,25,2003-2004
Gervinho,25,2010-2011
Dimitri Payet,25,2012-2013
Alexandre Lacazette,25,2014-2015
Christian Vieri,25,2001-2002
Adrian Mutu,25,2002-2003
Edinson Cavani,25,2012-2013
Marek Hamšík,25,2012-2013
Ciro Immobile,25,2013-2014
Carlos Tevez,25,2013-2014
Carlos Tevez,25,2014-2015
Lorenzo Insigne,25,2016-2017
Fabio Quagliarella,25,2018-2019
Les Ferdinand,25,1992-1993
Mark Bright,25,1993-1994
Andrei Kanchelskis,25,1995-1996
Dennis Bergkamp,25,1997-1998
Thierry Henry,25,2000-2001
Thierry Henry,25,2001-2002
Didier Drogba,25,2006-2007
Wayne Rooney,25,2006-2007
Emmanuel Adebayor,25,2007-2008
Roque Santa Cruz,25,2007-2008
Cesc Fàbregas,25,2009-2010
Wayne Rooney,25,2009-2010
Emmanuel Adebayor,25,2011-2012
Gareth Bale,25,2012-2013
Mesut Özil,25,2015-2016
Jamie Vardy,25,2015-2016
Leroy Sané,25,2017-2018
Kevin De Bruyne,25,2019-2020
Luís Figo,25,2000-2001
Xavi,25,2008-2009
Karim Benzema,25,2013-2014
Diego Costa,25,2013-2014
Cristiano Ronaldo,25,2016-2017
Iago Aspas,25,2017-2018
Wissam Ben Yedder,25,2018-2019
Pablo Sarabia,25,2018-2019
