player,NPGA/90,season,minutes
França,0.96,2003-2004,2342
Mario Gómez,0.96,2007-2008,1959
Arjen Robben,0.96,2009-2010,1778
Emil Forsberg,0.96,2016-2017,2338
Diego Costa,0.96,2014-2015,2068
Leroy Sané,0.96,2018-2019,1867
Dani Güiza,0.96,2007-2008,2992
Luis Suárez,0.96,2017-2018,2897
Émile Mpenza,0.95,2000-2001,2168
Mario Gómez,0.95,2008-2009,2737
Thomas Müller,0.95,2012-2013,2091
Jadon Sancho,0.95,2018-2019,2462
Karim Benzema,0.95,2007-2008,2565
Kylian Mbappé,0.95,2017-2018,2095
Mirko Vučinić,0.95,2004-2005,1895
Mohamed Salah,0.95,2016-2017,2473
Wayne Rooney,0.95,2007-2008,2181
Lukas Podolski,0.95,2012-2013,1985
Theo Walcott,0.95,2012-2013,2284
Gareth Bale,0.95,2017-2018,1794
Sergej Barbarez,0.94,2000-2001,2497
Marco Reus,0.94,2013-2014,2207
Edinson Cavani,0.94,2015-2016,2309
Ángel Di María,0.94,2019-2020,2005
Jon Dahl Tomasson,0.94,2003-2004,1539
Ciro Immobile,0.94,2017-2018,2683
Dennis Bergkamp,0.94,2004-2005,1921
Wayne Rooney,0.94,2012-2013,2014
Roy Makaay,0.94,2000-2001,1909
Walter Pandiani,0.94,2003-2004,1539
Ronaldo,0.94,2003-2004,2588
Isco,0.94,2016-2017,1636
Cacau,0.93,2009-2010,1740
Jakub Błaszczykowski,0.93,2012-2013,1926
Hernán Crespo,0.93,2000-2001,2610
Antonio Cassano,0.93,2007-2008,1545
Teddy Sheringham,0.93,1993-1994,1541
Paolo Di Canio,0.93,1999-2000,2617
Leroy Sané,0.93,2017-2018,2419
David Villa,0.93,2007-2008,2029
Luís Fabiano,0.93,2009-2010,1641
Pedro,0.93,2010-2011,2126
Antoine Griezmann,0.93,2017-2018,2509
Giovane Élber,0.92,2000-2001,2056
Roy Makaay,0.92,2004-2005,2840
Ivan Klasnić,0.92,2005-2006,1962
Ishak Belfodil,0.92,2018-2019,1863
Romain Alessandrini,0.92,2012-2013,1565
Memphis Depay,0.92,2017-2018,2555
Florian Thauvin,0.92,2017-2018,2949
Zlatan Ibrahimović,0.92,2006-2007,2156
Les Ferdinand,0.92,1995-1996,3122
Dennis Bergkamp,0.92,1997-1998,2447
Eiður Guðjohnsen,0.92,2000-2001,1568
Dennis Bergkamp,0.92,2001-2002,1948
Robin van Persie,0.92,2012-2013,3123
Luís Fabiano,0.92,2007-2008,2353
Mario Gómez,0.91,2011-2012,2469
Robert Lewandowski,0.91,2011-2012,2868
Franck Ribéry,0.91,2011-2012,2379
Alexandru Maxim,0.91,2013-2014,1682
Henrikh Mkhitaryan,0.91,2015-2016,2571
Lisandro López,0.91,2010-2011,2076
Andrea Belotti,0.91,2016-2017,3070
Dwight Yorke,0.91,1998-1999,2876
Michael Owen,0.91,2000-2001,1789
Sadio Mané,0.91,2019-2020,2084
Neymar,0.91,2015-2016,3055
